ns,nm,nf,entropy,lt,fix,ndev,pd,nuc,exp,rexp,sexp
0.46738211309508104,0.45482877267550514,0.50279950076378,0.4985202548918418,0.42302716451447797,0.5578016094033553,0.7467989604615106,0.46046622280918015,0.4968328378114115,0.7800784123173405,0.3799185895063396,0.6012176564423404
0.596571206251324,0.5888458377046059,0.42862380142947276,0.42048933211032,0.2961104137497387,0.538416496629027,0.49672440832700193,0.3250689300977504,0.4818665456081467,0.6083998324119924,0.912293713383475,0.6762406144709832
0.5830417955812988,0.6165318605857948,0.478014204426489,0.5078565364914875,0.1503335046993448,0.5582980902176583,0.4655063743574154,0.5267126818273911,0.4172244197186086,0.32991405828387677,0.675154003403571,0.6830424890959402
0.4553593308603947,0.4564054430326976,0.46192774514927826,0.46510874176405914,0.26097560885283755,0.4900050264511474,0.5476236108121711,0.819729266424441,0.46051414748241315,0.3627043483809348,0.7338709673271737,0.495164756945774
0.4740817825873286,0.46154645188510635,0.4714736347888874,0.4706461679575895,0.4925925946947347,0.45077195908470014,0.5993648733654142,0.4601913819091833,0.4537605203425753,0.5613018264752192,0.6415916361480974,0.5254680018559524
0.49443401121592057,0.5021136183131268,0.4941124902767471,0.5276627892660946,0.4484789010976239,0.5079120247686808,0.5524669633285489,0.4716939382667136,0.5060193962124812,0.6046136661794806,0.5701143017705795,0.653280351174111
0.4748760576101341,0.46524108320852664,0.4822582031881273,0.4740765370269756,0.6158357776837746,0.4568686152385195,0.6176978646441073,0.5971641538837373,0.5264241984433253,0.4937525198612186,0.6365650981938826,0.35511900218154346
0.6823036932934659,0.6880691724915691,0.6230730902123345,0.5533591606289763,0.5117731862703169,0.617131497202325,0.43303602595106505,0.48807336129794876,0.5856994405851004,0.4947234584768797,0.6958850047253693,0.6648062410274714
0.49019422591322126,0.43472939649425923,0.43236626752929064,0.38428699008633704,0.7422222200670092,0.5064313020265361,0.6511253806963675,0.5885734115328527,0.40272964242275777,0.46861148227424343,0.5789957941967638,0.6760228020291292
0.506842962331627,0.5326746107444091,0.4120526740363386,0.3690034185813489,0.48724489548593364,0.4983828911009899,0.6452382463185291,0.41881570151186365,0.4233952142818389,0.32242361469686664,0.4535339499596124,0.38800309652978016
